,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,Age,CountryRegionName_Australia,CountryRegionName_Canada,CountryRegionName_France,CountryRegionName_Germany,CountryRegionName_United Kingdom,CountryRegionName_United States,Education_Bachelors,Education_Graduate Degree,Education_High School,Education_Partial College,Education_Partial High School,Occupation_Clerical,Occupation_Management,Occupation_Manual,Occupation_Professional,Occupation_Skilled Manual
0,0.0,1.0,1.0,0.6000000000000001,0.0,0.3333333333333333,0.4968420126671358,1.0,0.3242095327984895,0.18571428571428572,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,1.0,1.0,0.4,0.3333333333333333,0.6666666666666666,0.4894528501055595,1.0,0.4252005663048606,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.5361717100633356,1.0,0.47097687588485115,0.2142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0.0,1.0,1.0,0.4,0.3333333333333333,0.6666666666666666,0.3170830401125968,1.0,0.6054742803209061,0.3285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,1.0,0.2,0.0,0.0,0.23195812807881774,1.0,0.5337423312883431,0.3571428571428571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,1.0,1.0,1.0,0.4,0.6666666666666666,0.6666666666666666,0.3211558761435609,1.0,0.24587069372345471,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,1.0,0.2,0.0,0.0,0.0834271639690359,0.0,0.5620575743275129,0.41428571428571426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,1.0,1.0,0.0,0.2,0.0,0.0,0.320170654468684,1.0,0.2449268522888155,0.042857142857142816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.5137139338494018,1.0,0.2807928268050963,0.34285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.2,0.0,0.0,0.01271111893033075,0.0,0.47428032090608774,0.34285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1.0,0.0,0.0,0.2,0.0,0.0,0.4558673469387755,0.0,0.4681453515809344,0.02857142857142858,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0.0,1.0,1.0,0.6000000000000001,0.0,0.0,0.6796534130893737,0.0,0.6696554978763567,0.27142857142857135,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,1.0,1.0,1.0,0.2,0.3333333333333333,0.6666666666666666,0.7280348346235046,1.0,0.40396413402548337,0.22857142857142854,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,0.0,1.0,1.0,0.4,0.0,0.6666666666666666,0.9529116819141449,0.0,0.3964134025483719,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.0,0.0,0.0,0.2,0.0,0.0,0.04478360309641097,0.0,0.26002831524303893,0.12857142857142856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15,0.0,0.0,0.0,0.2,0.0,0.0,0.04478360309641097,1.0,0.2331288343558282,0.12857142857142856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
